title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Blockchain-Enabled Provenance and Supply Chain Governance for Indigenous Foods and Botanicals: A Design Approach Study,"W Powell, Y Sultanbawa, M Thomson, D Sivakumar…",2024,7,… Utilizing blockchain technology to support validated provenance claims … which blockchain technology underpins a “whole of supply chain” approach to addressing issues of provenance …,vbXJ0Sk3_joJ,"W Powell, Y Sultanbawa, M Thomson, D Sivakumar… - Sustainability, 2024 - mdpi.com",[],https://www.mdpi.com/2071-1050/16/16/7084,unknown,unknown
Blockchain-enabled CBIM for lifecycle data provenance,K Jaskula,2024,0,"… of truth for all stakeholders, enabling effective information management during the whole … how blockchain could be used to improve the current information management workflows …",bbWGWF-1Ph0J,K Jaskula - 2024 - discovery.ucl.ac.uk,[],https://discovery.ucl.ac.uk/id/eprint/10196861/,unknown,unknown
Trusted Provenance with Blockchain Technology: A Systematic Literature Review,"S Kocadag, M Pohl, A Schreiber",2025,4,"… like Bitcoin, blockchain is increasingly being applied to diverse fields, including supply chain management, real estate, and provenance … They employed an EP-PLAN ontology, which …",gVGYWhDcKmIJ,"S Kocadag, M Pohl, A Schreiber - International Conference on Software …, 2025 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-031-89277-6_6,unknown,unknown
Blockchain-based digital twin data provenance for predictive asset management in building facilities,"P Tavakoli, I Yitmen, H Sadri, A Taheri",2024,54,… interested in the application of blockchain technology in asset management and data provenance. … The findings highlighted the importance of an ontology-based data structure for AIM to …,wtaYJo7X-q4J,"P Tavakoli, I Yitmen, H Sadri, A Taheri - Smart and Sustainable Built …, 2024 - emerald.com",[],https://www.emerald.com/sasbe/article/13/1/4/1215461,unknown,unknown
A novel semantic IoT middleware for secure data management: Blockchain and AI-driven context awareness,"M Elkhodr, S Khan, E Gide",2024,36,"… and event sourcing, while the Semantic Annotation Component assigns structured vocabulary for uniformity. SIM adopts blockchain … This ensures that the data origin is legitimate and …",TV1Onoe-iV0J,"M Elkhodr, S Khan, E Gide - Future Internet, 2024 - mdpi.com",[],https://www.mdpi.com/1999-5903/16/1/22,unknown,unknown
Blockchain and ERP-integrated MIS for transparent apparel & textile supply chains,"M Tabassum, MI Islam, IJ Bristy…",2025,51,"… a permissioned blockchain layer for immutable provenance, … transactional data, and a management information system (MIS) … governance, privacy, scalability, and changemanagement …",nfNmJ65LS1wJ,"M Tabassum, MI Islam, IJ Bristy… - Saudi Journal of …, 2025 - saudijournals.com",[],https://saudijournals.com/media/articles/SJEAT_109_447-456.pdf,unknown,unknown
Intelligent Data Provenance Tracking: Blockchain-Enabled Trust Framework for MLOps Pipelines,L Ridwan,2025,2,"… -based governance, blockchain enables … provenance ontologies, and explainable graph reasoning to enhance scalability and transparency. The convergence of AI and blockchain thus …",JLvMMLeSAg8J,L Ridwan - 2025 - researchgate.net,[],https://www.researchgate.net/profile/Noora-Qahtani/publication/396515481_Intelligent_Data_Provenance_Tracking_Blockchain-Enabled_Trust_Framework_for_MLOps_Pipelines/links/68f01960e7f5f867e6dfe5bb/Intelligent-Data-Provenance-Tracking-Blockchain-Enabled-Trust-Framework-for-MLOps-Pipelines.pdf,unknown,unknown
Blockchain technology for supply chain provenance: increasing supply chain efficiency and consumer trust,"EI Vazquez Melendez, P Bergey…",2024,227,… the blockchain landscape in supply chain management by … achieved by early adopters of blockchain technology within the supply … between physical products and the blockchain ledger. …,Fc_vKzDxH_4J,"EI Vazquez Melendez, P Bergey… - Supply chain management …, 2024 - emerald.com",[],https://www.emerald.com/scm/article-abstract/29/4/706/1229633,unknown,unknown
