title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Collaborative Editing with Yjs and CRDTs: The Complete Guide for Developers and Engineers,W Smith,2025,0,"… Data structures and algorithms integral to collaborative text editing receive thorough treatment, covering well-known CRDT sequence algorithms and their optimization for large, …",sVCItPYfEwMJ,W Smith - 2025 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=yrR_EQAAQBAJ&oi=fnd&pg=PT11&dq=CRDT+knowledge+graph+collaborative+editing+lightweight&ots=qzxGrp3zuF&sig=ej_TDjCVmLigJX_DMRvrMk2VMLU,unknown,unknown
Design and Implementation of a CRDT-OT Hybrid Client-Based System for Engineering Document Real-Time Collaborative Editing,"M Li, C Dang, L Liu, Z Tang",2025,0,"… concurrent conflicts and format control in collaborative editing, this paper proposes a hybrid architecture combining CRDT (… of CRDT to ensure eventual consistency during largescale …",jqp9_pNPYj4J,"M Li, C Dang, L Liu, Z Tang - 2025 10th International …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11265238/,unknown,unknown
Real-Time Co-Editing of Geographic Features,"H Matijević, S Vranić, N Kranjčić, V Cetl",2024,1,… geometry co-editing system using an existing CRDT implementation in Javascript … concurrent if neither was aware of the other at the time of their respective creation. Concurrent CRDT …,tnQdMrUlQjMJ,"H Matijević, S Vranić, N Kranjčić, V Cetl - ISPRS International Journal of …, 2024 - mdpi.com",[],https://www.mdpi.com/2220-9964/13/12/441,unknown,unknown
CHEKG: a collaborative and hybrid methodology for engineering modular and fair domain-specific knowledge graphs,"S Angelis, E Moraitou, G Caridakis, K Kotis",2024,9,… approach could involve participants of different levels of expertise … collaboration. This paper presents the methodology of Collaborative and Hybrid Engineering of Knowledge Graphs (…,s9V0q9UxVvwJ,"S Angelis, E Moraitou, G Caridakis, K Kotis - Knowledge and Information …, 2024 - Springer",[],https://link.springer.com/article/10.1007/s10115-024-02110-w,unknown,unknown
Simulation of personalized english learning path recommendation system based on knowledge graph and deep reinforcement learning,"LY Zhou, YY Wang",2025,23,"… Program, which ensures lightweight access, high compatibility… a large number of simultaneous requests. The personalized … , unless indicated otherwise in a credit line to the material. If …",dywT0PYOkMEJ,"LY Zhou, YY Wang - Scientific Reports, 2025 - nature.com",[],https://www.nature.com/articles/s41598-025-17918-x,unknown,unknown
Integrating knowledge graphs with symbolic AI: The path to interpretable hybrid AI systems in medicine,"ME Vidal, Y Chudasama, H Huang, D Purohit…",2025,44,"… Knowledge Graphs (KGs) are graph-based structures that integrate heterogeneous data, capture domain knowledge, and … of KGs, including gaps in knowledge coverage, evolving data …",xUq4LkskUogJ,"ME Vidal, Y Chudasama, H Huang, D Purohit… - Journal of Web …, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1570826824000428,unknown,unknown
VEG-MMKG: Multimodal knowledge graph construction for vegetables based on pre-trained model extraction,"B Lv, H Wu, W Chen, C Chen, Y Miao…",2024,27,"… to extract knowledge and construct an agricultural multimodal knowledge graph using a pre-… First, a text-image collaborative representation learning method with a two-stream structure …",69UCTLdS1a0J,"B Lv, H Wu, W Chen, C Chen, Y Miao… - Computers and electronics …, 2024 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0168169924007890,unknown,unknown
Large language models can better understand knowledge graphs than we thought,"X Dai, Y Hua, T Wu, Y Sheng, Q Ji, G Qi",2025,40,"When we integrate factual knowledge from knowledge graphs (KGs) into large language models (LLMs) to enhance their performance, the cost of injection through training increases …",Flp-NPIIruYJ,"X Dai, Y Hua, T Wu, Y Sheng, Q Ji, G Qi - Knowledge-Based Systems, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0950705125001078,unknown,unknown
Fedean: Entity-aware adversarial negative sampling for federated knowledge graph reasoning,"L Meng, K Liang, H Yu, Y Liu, S Zhou…",2024,30,… Financial credit assessment is vital for credit card applications. Banks must evaluate the … the high-risk information and reject his credit card application. • Intelligent Crime Prediction. …,Y4fu4TZGE2MJ,"L Meng, K Liang, H Yu, Y Liu, S Zhou… - … on Knowledge and …, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10694741/,unknown,unknown
Explicit knowledge graph reasoning for conversational recommendation,"X Ren, T Chen, QVH Nguyen, L Cui, Z Huang…",2024,48,… ’s explicit preference and use a retrieval/collaborative filtering-based (CF) recommendation … for our future work is to delve into lightweight CRSs that support efficient on-device inference. …,_mV7jvQXJjsJ,"X Ren, T Chen, QVH Nguyen, L Cui, Z Huang… - ACM Transactions on …, 2024 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3637216,unknown,unknown
Knowledge graphs in heterogeneous catalysis: Recent advances and future opportunities,"R Díaz, H Xin",2025,5,"Abstract Knowledge graphs (KGs) offer a structured, machine-readable format for organizing complex information. In the field of heterogeneous catalysis, where data on catalytic …",y2fX4qVL1hUJ,"R Díaz, H Xin - Chinese Journal of Chemical Engineering, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1004954125002393,unknown,unknown
Enhancing exploratory testing by large language model and knowledge graph,"Y Su, D Liao, Z Xing, Q Huang, M Xie, Q Lu…",2024,30,"… Abstracting with credit is permitted. To copy otherwise, or republish, to post on … a lightweight and robust approach to construct a KG with comprehensive system and bug knowledge from …",FJ6OAu8VaGsJ,"Y Su, D Liao, Z Xing, Q Huang, M Xie, Q Lu… - Proceedings of the IEEE …, 2024 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3597503.3639157,unknown,unknown
Paths-over-graph: Knowledge graph empowered large language model reasoning,"X Tan, X Wang, Q Liu, X Xu, X Yuan…",2025,117,"… Abstracting with credit is permitted. To copy otherwise, or … reasoning paths and then collaborating with LLM to perform a 3-… method, which employs lightweight models instead of …",QHcGkf8VZy4J,"X Tan, X Wang, Q Liu, X Xu, X Yuan… - Proceedings of the ACM …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3696410.3714892,unknown,unknown
Knowledge graph embedding: A survey from the perspective of representation spaces,"J Cao, J Fang, Z Meng, S Liang",2024,214,"… Knowledge Graphs (KGs) are a type of multi-relational graphs that store factual knowledge … Abstracting with credit is permitted. To copy otherwise, or republish, to post on servers or to …",bd7W23jp2QIJ,"J Cao, J Fang, Z Meng, S Liang - ACM Computing Surveys, 2024 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3643806,unknown,unknown
The water health open knowledge graph,"AS Lippolis, G Lodi, AG Nuzzolese",2025,13,"… Hence, we opted for XD since it fits our collaborative setting based on the co-creation … These mappings were processed with pyRML 51 , a lightweight Python engine for processing RML …",OaNizM9C7FUJ,"AS Lippolis, G Lodi, AG Nuzzolese - Scientific Data, 2025 - nature.com",[],https://www.nature.com/articles/s41597-025-04537-4,unknown,unknown
